pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
11 Com b,11 Com,12.2,1.09,4914.89848585,15.464,0.238,,,1.178,323.21,G8 III,4874.0,13.76,2.09,Radial Velocity,2007.0,Xinglong Station,93.1846,Gas Giant
11 UMi b,11 UMi,12.3,1.09,4684.8142,14.74,0.08,,,1.53,516.21997,K4 III,4213.0,29.79,2.78,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,125.321,Gas Giant
14 And b,14 And,13.1,1.16,1131.15130051,3.559,0.0,,,0.775,186.76,K0 III,4888.0,11.55,1.78,Radial Velocity,2008.0,Okayama Astrophysical Observatory,75.4392,Gas Giant
14 Her b,14 Her,12.6,1.12,2559.47216157,8.053,0.373,,,2.774,1765.0389,K0V,5338.0,0.93,0.91,Radial Velocity,2002.0,W. M. Keck Observatory,17.9323,Gas Giant
16 Cyg B b,16 Cyg B,13.5,1.2,565.7374,1.78,0.68,,,1.66,798.5,G3 V,5750.0,1.13,1.08,Radial Velocity,1996.0,Multiple Observatories,21.1397,Gas Giant
17 Sco b,17 Sco,12.9,1.15,1373.01871824,4.32,0.06,,,1.45,578.38,K3 III,4157.0,25.92,1.22,Radial Velocity,2020.0,Lick Observatory,124.953,Gas Giant
18 Del b,18 Del,12.5,1.12,2926.24614325,9.207,0.024,,,2.476,982.85,G6 III,4980.0,8.8,2.1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,76.222,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,18.647,1.664,3000.0,8.0,,1700.0,,330.0,,K7 V,4060.0,1.31316,0.85,Imaging,2008.0,Gemini Observatory,139.135,Gas Giant
24 Boo b,24 Boo,13.9,1.24,280.64248338,0.883,0.032,,,0.194,30.33,G3 IV,4816.0,12.19,1.05,Radial Velocity,2018.0,Okayama Astrophysical Observatory,95.9863,Gas Giant
24 Sex b,24 Sex,13.4,1.19,632.46,1.99,0.09,,,1.333,452.8,K0 IV,5098.0,4.9,1.54,Radial Velocity,2010.0,Lick Observatory,72.0691,Gas Giant
24 Sex c,24 Sex,13.9,1.24,273.32,0.86,0.29,,,2.08,883.0,K0 IV,5098.0,4.9,1.54,Radial Velocity,2010.0,Lick Observatory,72.0691,Gas Giant
2M0437 b,2MASS J04372171+2651014,13.0,1.16,1271.313628,4.0,,1450.0,,118.0,,M V,3100.0,0.84,0.17,Imaging,2021.0,Subaru Telescope,128.484,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,12.3,1.1,4131.79,13.0,,,,84.0,,M5.5/M6,,,0.19,Imaging,2013.0,Paranal Observatory,47.2,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.209,1.0,7786.5,24.5,,1600.0,,52.0,,M3.5 V,3530.0,0.36645,0.4,Imaging,2013.0,W. M. Keck Observatory,33.8281,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,16.14096,1.44,4417.837,13.9,,,,156.0,,M6,3064.0,0.281,0.108,Imaging,2015.0,Cerro Tololo Inter-American Observatory,40.08964117,Gas Giant
2MASS J0249-0557 c,2MASS J0249-0557 A,12.4,1.11,3686.8095212,11.6,,,,1950.0,,M6 V,2859.0,0.315959,0.046,Imaging,2018.0,Mauna Kea Observatory,66.0613,Gas Giant
2MASS J03590986+2009361 b,2MASS J03590986+2009361,12.2,1.08,5720.911326,18.0,,2369.0,,572.0,,,2943.0,0.289776,0.264996,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,117.435,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,12.6,1.13,2383.6,7.5,,,,15.0,,M8.5,2936.0,0.231916,0.019,Imaging,2010.0,Hubble Space Telescope,120.42398696,Gas Giant
2MASS J11011926-7732383 b,2MASS J11011926-7732383,11.9,1.06,8899.195396,28.0,,2677.0,,266.0,,,,,,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,Gas Giant
2MASS J11550485-7919108 b,2MASS J11550485-7919108,12.1,1.08,6356.56814,20.0,,2506.0,,587.0,,,3021.0,0.600455,0.58846,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,100.862,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,15.69257298,1.4,1652.7077164,5.2,,1163.0,,46.0,,M8,2825.0,0.21887,0.188001,Imaging,2004.0,Paranal Observatory,64.308,Gas Giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,13.4,1.2,603.877,1.9,0.33,,,0.92,406.0,,29564.0,0.203,0.48,Eclipse Timing Variations,2015.0,Kepler,396.332,Gas Giant
2MASS J21252752-8138278 b,2MASS J21252752-8138278,12.4,1.1,3813.940884,12.0,,1616.0,,7493.0,,,3592.0,0.672832,0.643977,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,34.1154,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,12.3,1.1,3972.875,12.5,,,,230.0,,K7 V,4045.0,0.641152,0.6,Imaging,2016.0,W. M. Keck Observatory,69.5737,Gas Giant
2MASS J22501512+2325342 b,2MASS J22501512+2325342,11.9,1.06,9534.85221,30.0,,1600.0,,518.0,,M3,3352.0,0.437589,0.433173,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),57.2309,Gas Giant
4 UMa b,4 UMa,12.6,1.12,2511.48007211,7.902,0.453,,,0.877,270.27,K1 III,4415.0,18.11,1.234,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,73.4603,Gas Giant
47 UMa b,47 UMa,13.2,1.18,804.08,2.53,0.032,,,2.1,1078.0,G0V,5872.0,1.21334,1.06,Radial Velocity,1996.0,Lick Observatory,13.7967,Gas Giant
47 UMa c,47 UMa,14.2,1.27,171.621,0.54,0.098,,,3.6,2391.0,G0V,5872.0,1.21334,1.06,Radial Velocity,2001.0,Lick Observatory,13.7967,Gas Giant
47 UMa d,47 UMa,13.5,1.2,521.22,1.64,0.16,,,11.6,14002.0,G0V,5872.0,1.21334,1.06,Radial Velocity,2009.0,Lick Observatory,13.7967,Gas Giant
51 Peg b,51 Peg,14.3,1.27,146.2018,0.46,0.013,,,0.0527,4.230785,G5V,5758.0,1.17561,1.03,Radial Velocity,1995.0,Haute-Provence Observatory,15.4614,Gas Giant
55 Cnc B b,55 Cnc B,1.69,0.151,3.5,0.01101223,0.0,,,0.044,6.7994,M4.5 V,3286.0,0.274,0.26,Radial Velocity,2025.0,Mauna Kea Observatory,12.4773,Super-Earth
55 Cnc B c,55 Cnc B,2.16,0.193,5.3,0.01667566,0.0,,,0.13,33.747,M4.5 V,3286.0,0.274,0.26,Radial Velocity,2025.0,Mauna Kea Observatory,12.4773,Super-Earth
55 Cnc b,55 Cnc,13.9,1.24,263.9785,0.8306,0.0029,700.0,,0.118,14.651552,G8 V,5198.0,0.98,1.015,Radial Velocity,1996.0,Lick Observatory,12.5855,Gas Giant
55 Cnc c,55 Cnc,8.51,0.76,54.4738,0.1714,0.088,,,0.247,44.3936,G8 V,5198.0,0.98,1.015,Radial Velocity,2004.0,McDonald Observatory,12.5855,Gas Giant
55 Cnc d,55 Cnc,13.0,1.16,1232.493,3.878,0.0913,,,5.6,4799.0,G8 V,5198.0,0.98,1.015,Radial Velocity,2002.0,Lick Observatory,12.5855,Gas Giant
55 Cnc e,55 Cnc,1.875,0.1672763,7.99,0.02513923,0.05,1958.0,2657.8322,0.01544,0.7365474,G8 V,5172.0,0.943,0.905,Radial Velocity,2004.0,McDonald Observatory,12.5855,Super-Earth
55 Cnc f,55 Cnc,7.59,0.677,44.812,0.141,0.063,,,0.802,260.58,G8 V,5198.0,0.98,1.015,Radial Velocity,2007.0,Multiple Observatories,12.5855,Gas Giant
6 Lyn b,6 Lyn,13.4,1.2,597.83523357,1.881,0.042,,,2.028,919.86,K0 IV,4941.0,4.94,1.32,Radial Velocity,2008.0,Okayama Astrophysical Observatory,54.6599,Gas Giant
61 Vir b,61 Vir,2.11,0.188,5.1,0.016,0.12,,,0.050201,4.215,G5 V,5577.0,0.963,0.942,Radial Velocity,2009.0,Multiple Observatories,8.50332,Super-Earth
61 Vir c,61 Vir,4.46,0.398,18.2,0.057,0.14,,,0.2175,38.021,G5 V,5577.0,0.963,0.942,Radial Velocity,2009.0,Multiple Observatories,8.50332,Neptunian
61 Vir d,61 Vir,5.11,0.456,22.9,0.072,0.35,,,0.476,123.01,G5 V,5577.0,0.963,0.942,Radial Velocity,2009.0,Multiple Observatories,8.50332,Neptunian
7 CMa b,7 CMa,13.4,1.2,587.9855,1.85,0.06,,,1.758,735.1,K1III(+M),4826.0,4.87,1.34,Radial Velocity,2011.0,Anglo-Australian Telescope,19.8101,Gas Giant
7 CMa c,7 CMa,13.9,1.24,276.5121,0.87,0.08,,,2.153,996.0,K1III(+M),4826.0,4.87,1.34,Radial Velocity,2019.0,Multiple Observatories,19.8101,Gas Giant
70 Vir b,70 Vir,12.6,1.13,2380.45,7.49,0.3988,,,0.481,116.688,G5V,5495.0,1.89,1.09,Radial Velocity,1996.0,Lick Observatory,17.9011,Gas Giant
75 Cet b,75 Cet,13.3,1.18,787.89662095,2.479,0.093,,,1.912,696.62,G3 III,4809.0,10.38,1.92,Radial Velocity,2012.0,Okayama Astrophysical Observatory,82.9613,Gas Giant
75 Cet c,75 Cet,13.9,1.24,289.85950718,0.912,0.023,,,3.929,2051.62,G3 III,4809.0,10.38,1.92,Radial Velocity,2023.0,Okayama Astrophysical Observatory,82.9613,Gas Giant
8 UMi b,8 UMi,13.5,1.2,524.41687155,1.65,0.062,,,0.462,93.31,K0,4847.0,10.73,1.51,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,162.552,Gas Giant
81 Cet b,81 Cet,13.1,1.17,1051.05854195,3.307,0.037,,,2.104,1005.57,G5 III,4734.0,11.21,1.23,Radial Velocity,2008.0,Okayama Astrophysical Observatory,101.26,Gas Giant
91 Aqr b,91 Aqr,13.1,1.17,1017.0,3.2,0.027,,,0.7,181.4,K0 III,4665.0,11.0,1.4,Radial Velocity,2013.0,Lick Observatory,44.0304,Gas Giant
AB Aur b,AB Aur,12.5,1.12,2860.455663,9.0,0.4,,,93.9,,,9770.0,2.95887,2.4,Imaging,2022.0,Subaru Telescope,162.127,Gas Giant
AB Pic b,AB Pic,12.3,1.1,4290.5,13.5,,,,260.0,,K2 V,5285.0,0.999394,0.9,Imaging,2005.0,Paranal Observatory,50.0475,Gas Giant
AF Lep b,AF Lep,13.0,1.16,1147.36054927,3.61,0.015,1400.0,,8.996,8905.0,F8,6140.0,1.25,1.218,Imaging,2023.0,Paranal Observatory,26.8564,Gas Giant
AT2021ueyL b,AT2021ueyL,13.6,1.22,425.89006538,1.34,,,,4.01,4168.69,M V,3680.0,,0.49,Microlensing,2025.0,Multiple Observatories,1040.0,Gas Giant
AU Mic b,AU Mic,4.79,0.42733591,8.99,0.0282857,0.07,554.8,21.2,0.07,8.463446,M1 V,3540.0,0.862,0.635,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),9.7221,Neptunian
AU Mic c,AU Mic,2.79,0.24890756,14.46,0.04549625,0.18,424.7,7.3,0.119,18.859023,M1 V,3540.0,0.862,0.635,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),9.7221,Neptunian
BD+03 2562 b,BD+03 2562,12.7,1.13,2034.112,6.4,0.2,,,1.3,481.9,,4095.0,32.35,1.14,Radial Velocity,2017.0,Multiple Observatories,1070.63,Gas Giant
BD+14 4559 b,BD+14 4559,13.8,1.23,330.5432,1.04,0.29,,,0.78,268.94,K2 V,4864.0,0.86,0.49,Radial Velocity,2009.0,McDonald Observatory,49.352,Gas Giant
BD+15 2375 b,BD+15 2375,13.8,1.23,337.21763,1.061,0.001,,,0.576,153.22,G5,4649.0,8.95,1.08,Radial Velocity,2016.0,Roque de los Muchachos Observatory,768.045,Gas Giant
BD+15 2940 b,BD+15 2940,13.7,1.23,352.78,1.11,0.26,,,0.539,137.48,K0,4796.0,14.7,1.1,Radial Velocity,2013.0,McDonald Observatory,426.42,Gas Giant
BD+20 2457 b,BD+20 2457,12.1,1.08,6807.63,21.42,0.15,,,1.45,379.63,K2 II,4137.0,49.0,2.8,Radial Velocity,2009.0,McDonald Observatory,1539.71,Gas Giant
BD+20 2457 c,BD+20 2457,12.4,1.1,3963.17,12.47,0.18,,,2.01,621.99,K2 II,4137.0,49.0,2.8,Radial Velocity,2009.0,McDonald Observatory,1539.71,Gas Giant
BD+20 274 b,BD+20 274,13.0,1.16,1334.886,4.2,0.21,,,1.3,578.2,K5 III,4296.0,17.3,0.8,Radial Velocity,2012.0,McDonald Observatory,1322.51,Gas Giant
BD+20 594 b,BD+20 594,2.57807,0.23,22.2481,0.07,0.0,546.0,,0.241,41.6855,G,5766.0,1.08,1.67,Transit,2016.0,K2,179.461,Neptunian
BD+37 3172 b,BD+37 3172,12.4,1.11,3368.9811142,10.6,0.59,,,4.65,1887.76,,4500.0,50.24,3.75,Radial Velocity,2023.0,McDonald Observatory,454.251,Gas Giant
BD+42 2315 b,BD+42 2315,14.2,1.26,174.80562385,0.55,0.73,,,0.54,123.05,,4500.0,17.85,1.38,Radial Velocity,2023.0,McDonald Observatory,610.715,Gas Giant
BD+45 564 b,BD+45 564,13.6,1.21,432.24663352,1.36,0.12,,,0.83,307.88,K1,5004.0,0.813064,0.81,Radial Velocity,2021.0,Haute-Provence Observatory,53.622,Gas Giant
BD+48 738 b,BD+48 738,13.9,1.24,289.2253,0.91,0.2,,,1.0,392.6,K0 III,4414.0,11.0,0.74,Radial Velocity,2011.0,McDonald Observatory,871.493,Gas Giant
BD+48 740 b,BD+48 740,13.5,1.2,540.311,1.7,0.76,,,1.7,733.0,K3 III,4534.0,10.33,1.09,Radial Velocity,2018.0,Multiple Observatories,666.589,Gas Giant
BD+49 828 b,BD+49 828,13.5,1.21,508.5,1.6,0.35,,,4.2,2590.0,K0,4943.0,7.6,1.52,Radial Velocity,2015.0,McDonald Observatory,442.042,Gas Giant
BD+55 362 b,BD+55 362,14.0,1.25,228.83645304,0.72,0.27,,,0.78,265.59,K3,5012.0,0.896193,0.909,Radial Velocity,2021.0,Haute-Provence Observatory,52.5697,Gas Giant
BD+60 1417 b,BD+60 1417,14.68376472,1.31,4767.426105,15.0,,1303.0,,1662.0,,K0,4993.0,0.797,1.0,Imaging,2021.0,Wide-field Infrared Survey Explorer (WISE) Sat,44.9543,Gas Giant
BD+63 1405 b,BD+63 1405,12.4,1.11,3305.4154328,10.4,0.88,,,2.06,1198.48,K0,5000.0,0.804724,0.816,Radial Velocity,2021.0,Haute-Provence Observatory,38.0473,Gas Giant
BD-06 1339 c,BD-06 1339,8.38,0.747,53.0,0.17,0.31,,,0.435,125.94,K7/M0 V,4324.0,0.686355,0.7,Radial Velocity,2013.0,La Silla Observatory,20.2695,Gas Giant
BD-08 2823 c,BD-08 2823,12.5,1.11,104.0,0.33,0.19,,,0.68,237.6,K3 V,4746.0,0.71,0.74,Radial Velocity,2009.0,La Silla Observatory,41.3342,Gas Giant
BD-10 3166 b,BD-10 3166,14.1,1.26,187.5197,0.59,0.02,,,0.04,3.48777,K0 V,5393.0,0.91,1.47,Radial Velocity,2000.0,W. M. Keck Observatory,84.4069,Gas Giant
BD-11 4672 b,BD-11 4672,14.1,1.25,206.5895,0.65,0.05,,,2.36,1634.0,K7V,4550.0,0.639,0.651,Radial Velocity,2014.0,La Silla Observatory,27.1665,Gas Giant
BD-11 4672 c,BD-11 4672,4.04,0.36,15.37,0.04835919,0.4,,,0.3,74.2,K7V,4550.0,0.639,0.651,Radial Velocity,2020.0,Roque de los Muchachos Observatory,27.1665,Neptunian
BD-13 2130 b,BD-13 2130,12.5,1.11,3108.3774,9.78,0.21,,,1.66,714.29999,G5 IV/V,4545.0,19.17,2.12,Radial Velocity,2007.0,La Silla Observatory,925.214,Gas Giant
BD-14 3065 b,BD-14 3065 A,21.59,1.926,3932.0,12.37,0.066,2001.0,646.761,0.0656,4.2889731,,6935.0,2.35,1.41,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),589.423,Gas Giant
BD-17 63 b,BD-17 63,12.8,1.15,1639.99458012,5.16,0.5439,,,1.34,655.57,K5 V,4714.0,0.74,0.741,Radial Velocity,2008.0,La Silla Observatory,34.4603,Gas Giant
BD-210397 b,BD-210397,14.0,1.25,214.0,0.7,0.1,,0.02,2.63,1891.0,K7 V,4051.0,0.747,0.679,Radial Velocity,2023.0,La Silla Observatory,23.7324,Gas Giant
BD-210397 c,BD-210397,12.9,1.15,1525.5763536,4.8,0.43,,0.0039,5.9,6240.0,K7 V,4051.0,0.747,0.69,Radial Velocity,2023.0,La Silla Observatory,23.7324,Gas Giant
BEBOP-3 b,BEBOP-3,14.2,1.26,177.34825111,0.558,0.247,,,1.444,547.0,,6033.0,1.414,1.083,Radial Velocity,2025.0,Haute-Provence Observatory,119.052,Gas Giant
Barnard b,Barnard's star,0.72,0.0642,0.299,0.00094076,0.03,438.0,6.76,0.0229,3.1542,M3.5-4 V,3195.0,0.185,0.162,Radial Velocity,2024.0,Paranal Observatory,1.82655,Terrestrial
Barnard c,Barnard's star,0.743,0.0663,0.335,0.00105403,0.08,400.0,,0.0274,4.1244,M3.5-4 V,3195.0,0.185,0.162,Radial Velocity,2025.0,Gemini Observatory,1.82655,Terrestrial
Barnard d,Barnard's star,0.694,0.062,0.263,0.00082749,0.04,483.0,,0.0188,2.3402,M3.5-4 V,3195.0,0.185,0.162,Radial Velocity,2025.0,Gemini Observatory,1.82655,Terrestrial
Barnard e,Barnard's star,0.637,0.0568,0.193,0.00060725,0.04,340.0,,0.0381,6.7392,M3.5-4 V,3195.0,0.185,0.162,Radial Velocity,2025.0,Gemini Observatory,1.82655,Terrestrial
CD Cet b,CD Cet,1.82,0.162,3.95,0.01242809,,464.0,8.6,0.0185,2.2907,M5.0 V,3130.0,0.175,0.161,Radial Velocity,2020.0,Calar Alto Observatory,8.60715,Super-Earth
CD-35 2722 b,CD-35 2722,17.37392009,1.55,9375.9380065,29.5,,1800.0,,67.0,,M1 V,3689.0,0.558549,0.4,Imaging,2011.0,Gemini Observatory,22.3896,Gas Giant
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,12.4,1.11,3337.1,10.5,,370.0,,2.6,10037.5,,580.5,,0.021,Imaging,2011.0,W. M. Keck Observatory,23.1,Gas Giant
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,20.8487041,1.86,2479.0615746,7.8,,1800.0,,200.0,8040000.0,M9-L1,2320.0,0.245,0.0147,Imaging,2021.0,Hubble Space Telescope,,Gas Giant
CHXR 73 b,CHXR 73,12.3,1.1,3994.486,12.569,,,,210.0,,M3.5,3099.0,,0.35,Imaging,2006.0,Hubble Space Telescope,190.374,Gas Giant
CI Tau c,CI Tau,13.0,1.16,1144.1822652,3.6,0.58,,,0.17,25.2,K7,3807.0,1.880857,0.9,Radial Velocity,2024.0,Multiple Observatories,157.998,Gas Giant
COCONUTS-2 b,COCONUTS-2 A,12.44196858,1.11,2542.627256,8.0,,434.0,,7506.0,402000000.0,M3 V,3406.0,0.388,0.37,Imaging,2021.0,NASA Infrared Telescope Facility (IRTF),10.8864,Gas Giant
CT Cha b,CT Cha,24.66,2.2,5403.0,17.0,,2600.0,,440.0,,K5e,4403.0,1.679694,,Imaging,2007.0,Paranal Observatory,190.72,Gas Giant
CoRoT-1 b,CoRoT-1,16.7,1.49,327.35,1.03,0.0,1898.0,2852.63,0.02752,1.5089557,G0 V,5950.0,1.11,0.95,Transit,2008.0,CoRoT,787.909,Gas Giant
CoRoT-10 b,CoRoT-10,10.87,0.97,874.0,2.75,0.53,600.0,16.1089,0.1055,13.2406,K1 V,5075.0,0.79,0.89,Transit,2010.0,CoRoT,338.386,Gas Giant
CoRoT-11 b,CoRoT-11,16.03,1.43,740.51,2.33,0.0,1657.0,1890.649,0.0436,2.99433,F6 V,6440.0,1.37,1.27,Transit,2010.0,CoRoT,655.037,Gas Giant
CoRoT-12 b,CoRoT-12,16.14,1.44,291.438,0.917,0.07,1442.0,661.1334,0.04016,2.828042,,5675.0,1.116,1.078,Transit,2010.0,CoRoT,1126.37,Gas Giant
CoRoT-13 b,CoRoT-13,9.92,0.885,415.704,1.308,0.0,1700.0,546.5339,0.051,4.03519,G0 V,5945.0,1.01,1.09,Transit,2010.0,CoRoT,1148.93,Gas Giant
CoRoT-14 b,CoRoT-14,12.22,1.09,2415.4,7.6,0.0,1952.0,,0.027,1.51214,F9 V,6035.0,1.21,1.13,Transit,2010.0,CoRoT,1744.6,Gas Giant
CoRoT-16 b,CoRoT-16,13.11,1.17,170.032,0.535,0.33,,,0.0618,5.35227,G5 V,5650.0,1.19,1.098,Transit,2011.0,CoRoT,732.409,Gas Giant
CoRoT-17 b,CoRoT-17,11.43,1.02,772.29,2.43,0.0,1626.0,,0.0461,3.7681,G2 V,5740.0,1.59,1.04,Transit,2011.0,CoRoT,1176.12,Gas Giant
CoRoT-18 b,CoRoT-18,14.68,1.31,1102.82,3.47,0.08,1550.0,823.7009,0.0295,1.9000693,G9 V,5440.0,1.0,0.95,Transit,2011.0,CoRoT,764.889,Gas Giant
CoRoT-19 b,CoRoT-19,14.46,1.29,352.78,1.11,0.047,2000.0,1103.809,0.0518,3.89713,F9 V,6090.0,1.65,1.21,Transit,2011.0,CoRoT,790.663,Gas Giant
CoRoT-2 b,CoRoT-2,16.432,1.466,1102.82,3.47,0.0143,1521.0,932.9076,0.02798,1.7429935,,5625.0,0.906,0.96,Transit,2008.0,CoRoT,213.283,Gas Giant
CoRoT-20 b,CoRoT-20,9.41556,0.84,1366.669,4.3,0.59,1024.0,180.8704,0.09,9.24285,G2 V,5880.0,1.02,1.14,Transit,2011.0,CoRoT,844.061,Gas Giant
CoRoT-20 c,CoRoT-20,12.2,1.09,5403.11,17.0,0.6,,,2.9,1675.0,G2 V,5880.0,1.02,1.14,Radial Velocity,2018.0,Multiple Observatories,844.061,Gas Giant
CoRoT-21 b,CoRoT-21,14.5717,1.3,718.2958,2.26,0.0,,,0.0417,2.72474,F8 IV,6200.0,1.95,1.29,Transit,2012.0,CoRoT,1398.83419686,Gas Giant
CoRoT-22 b,CoRoT-22,4.88,0.435,12.2,0.038,0.077,885.0,,0.092,9.75598,G3 V,5939.0,1.136,1.099,Transit,2014.0,CoRoT,627.158,Neptunian
CoRoT-23 b,CoRoT-23,11.77,1.05,889.9,2.8,0.16,1660.0,,0.048,3.6313,G0 V,5900.0,1.61,1.14,Transit,2011.0,CoRoT,1060.97,Gas Giant
CoRoT-24 b,CoRoT-24,3.7,0.33,5.7,0.018,0.0,1070.0,,0.056,5.1134,K1 V,4950.0,0.86,0.91,Transit,2014.0,CoRoT,591.555,Neptunian
CoRoT-24 c,CoRoT-24,5.0,0.44,28.0,0.088,0.0,850.0,,0.098,11.759,K1 V,4950.0,0.86,0.91,Transit,2014.0,CoRoT,591.555,Neptunian
CoRoT-25 b,CoRoT-25,12.11,1.08,85.81,0.27,0.0,1330.0,,0.0578,4.86069,F9,6040.0,1.19,1.09,Transit,2013.0,CoRoT,1103.48,Gas Giant
CoRoT-26 b,CoRoT-26,14.12,1.26,165.26,0.52,0.0,1600.0,,0.0526,4.20474,G5,5590.0,1.79,1.09,Transit,2013.0,CoRoT,1045.18,Gas Giant
CoRoT-27 b,CoRoT-27,11.287,1.007,3302.11,10.39,0.065,1500.0,,0.0476,3.57532,G2,5900.0,1.08,1.05,Transit,2014.0,CoRoT,1010.28,Gas Giant
CoRoT-28 b,CoRoT-28,10.704595,0.955,153.82972,0.484,0.047,,,0.0603,5.20851,G8/9 IV,5150.0,1.78,1.01,Transit,2015.0,CoRoT,766.183,Gas Giant
CoRoT-29 b,CoRoT-29,10.0881,0.9,270.1555,0.85,0.082,,,0.0386,2.85057,K0 V,5260.0,0.9,0.97,Transit,2015.0,CoRoT,806.507,Gas Giant
CoRoT-3 b,CoRoT-3,11.32,1.01,6883.91,21.66,0.0,1695.0,,0.05783,4.2568,F3 V,6740.0,1.56,1.37,Transit,2008.0,CoRoT,768.771,Gas Giant
CoRoT-30 b,CoRoT-30,11.309881,1.009,921.707,2.9,0.007,,,0.0844,9.06005,G3 V,5650.0,0.91,0.98,Transit,2020.0,CoRoT,1032.23,Gas Giant
CoRoT-31 b,CoRoT-31,16.36514,1.46,266.9772,0.84,0.02,,,0.0586,4.62941,G2 IV,5700.0,2.15,1.25,Transit,2020.0,CoRoT,2005.76,Gas Giant
CoRoT-32 b,CoRoT-32,6.38913,0.57,47.6745,0.15,,938.0,132.26,0.071,6.71837,G0 VI,5970.0,0.79,1.08,Transit,2018.0,CoRoT,576.683,Gas Giant
CoRoT-35 b,CoRoT-35,18.83108758,1.68,349.6112477,1.1,0.0,1747.0,,0.0429,3.22748,F6 V,6390.0,1.65,1.01,Transit,2022.0,CoRoT,1123.21,Gas Giant
CoRoT-36 b,CoRoT-36,15.80466279,1.41,216.12331676,0.68,0.0,1567.0,,0.066,5.616531,F3 V,6730.0,1.52,1.32,Transit,2022.0,CoRoT,925.958,Gas Giant
CoRoT-4 b,CoRoT-4,13.34,1.19,228.83,0.72,0.0,1074.0,203.9517,0.09,9.20205,,6190.0,1.17,1.16,Transit,2008.0,CoRoT,726.412,Gas Giant
CoRoT-5 b,CoRoT-5,15.558,1.388,148.42,0.467,0.09,1438.0,786.2949,0.04947,4.0378962,F9 V,6100.0,1.186,1.0,Transit,2009.0,CoRoT,882.472,Gas Giant
CoRoT-6 b,CoRoT-6,13.068,1.166,940.74,2.96,0.1,1017.0,,0.0855,8.886593,F9 V,6090.0,1.025,1.05,Transit,2009.0,CoRoT,645.294,Gas Giant
CoRoT-7 b,CoRoT-7,1.68135,0.15,4.07660518,0.01282637,0.0,1756.0,,0.017016,0.85359163,G9 V,5275.0,0.83,0.82,Transit,2009.0,CoRoT,159.906,Super-Earth
CoRoT-7 c,CoRoT-7,2.83,0.253,8.4,0.02642922,0.0,,,0.046,3.698,G9 V,5256.0,0.864273,0.899,Radial Velocity,2009.0,CoRoT,159.906,Neptunian
CoRoT-8 b,CoRoT-8,6.39,0.57,69.92,0.22,0.0,870.0,,0.063,6.21229,K1 V,5080.0,0.77,0.88,Transit,2010.0,CoRoT,322.037,Gas Giant
CoRoT-9 b,CoRoT-9,11.948794,1.066,266.9772,0.84,0.133,420.0,,0.4021,95.272656,G3 V,5625.0,0.96,0.96,Transit,2009.0,CoRoT,412.98,Gas Giant
DE CVn b,DE CVn,12.4,1.1,3823.27330161,12.02930278,0.0,,,5.75,4098.1,,3579.0,0.424754,0.51,Eclipse Timing Variations,2018.0,Multiple Facilities,30.5225,Gas Giant
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,11.9,1.06,9057.77,28.5,0.345,,,0.36,246.36,L1.5,,,0.075,Astrometry,2013.0,Paranal Observatory,20.77,Gas Giant
DH Tau b,DH Tau,30.2643,2.7,3496.0,11.0,,2200.0,,330.0,,M0.5,4371.0,0.27,0.33,Imaging,2004.0,Subaru Telescope,134.846,Gas Giant
DMPP-1 b,DMPP-1,4.26,0.38,16.8,0.05285871,0.2,877.0,,0.1423,17.812,F8 V,6196.0,1.26,1.21,Radial Velocity,2019.0,La Silla Observatory,62.5388,Neptunian
DMPP-1 c,DMPP-1,3.31,0.295,10.94,0.03442109,0.22,1239.0,,0.0973,10.03,F8 V,6196.0,1.26,1.21,Radial Velocity,2019.0,La Silla Observatory,62.5388,Neptunian
