pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
HD 4203 c,HD 4203,13.3,1.19,689.66,2.17,0.24,,,6.95,6700.0,G5,5582.0,1.49795,0.99,Radial Velocity,2014.0,W. M. Keck Observatory,81.3795,Gas Giant
HD 4208 b,HD 4208,13.9,1.24,257.4423,0.81,0.042,,,1.662,832.97,G7 V Fe-1 CH-0.5,5717.0,0.846,0.883,Radial Velocity,2001.0,W. M. Keck Observatory,34.1937,Gas Giant
HD 42618 b,HD 42618,3.89,0.347,14.4,0.04530724,0.19,337.0,3.16,0.554,149.61,G4 V,5727.0,0.999,1.015,Radial Velocity,2016.0,Multiple Observatories,24.3358,Neptunian
HD 4308 b,HD 4308,4.12,0.368,15.8915,0.05,0.0,,,0.12,15.56,G5V,5686.0,1.02,0.93,Radial Velocity,2005.0,La Silla Observatory,22.0158,Neptunian
HD 4313 b,HD 4313,13.4,1.2,612.45841,1.927,0.147,,,1.157,356.21,G5,4943.0,5.14,1.63,Radial Velocity,2009.0,W. M. Keck Observatory,136.308,Gas Giant
HD 43197 b,HD 43197,14.2,1.26,175.75910907,0.553,0.742,,,0.882,308.92072,G8 V,5508.0,1.0,0.96,Radial Velocity,2010.0,La Silla Observatory,62.4112,Gas Giant
HD 43197 c,HD 43197,12.6,1.12,2500.67390628,7.868,0.149,,,8.54,9295.9735,G8 V,5508.0,1.0,0.96,Radial Velocity,2022.0,Multiple Observatories,62.4112,Gas Giant
HD 43691 b,HD 43691,13.2,1.18,810.4665,2.55,0.0796,,,0.238,36.9987,G0,6093.0,1.6,1.32,Radial Velocity,2007.0,Haute-Provence Observatory,85.6009,Gas Giant
HD 44219 b,HD 44219,14.1,1.26,184.34047606,0.58,0.41,,,1.26,472.0,G3 V,5752.0,1.32,1.2,Radial Velocity,2010.0,La Silla Observatory,52.9051,Gas Giant
HD 45184 b,HD 45184,3.52,0.314,12.19,0.0384,0.07,,,0.0644,5.8854,G1.5 V,5869.0,1.075139,1.03,Radial Velocity,2019.0,La Silla Observatory,21.9532,Neptunian
HD 45184 c,HD 45184,2.91,0.26,8.81,0.0277,0.07,,,0.11,13.1354,G1.5 V,5869.0,1.075139,1.03,Radial Velocity,2019.0,La Silla Observatory,21.9532,Neptunian
HD 45350 b,HD 45350,13.5,1.2,568.89,1.79,0.778,,,1.92,963.6,G5 V,5566.0,1.26442,0.98,Radial Velocity,2004.0,W. M. Keck Observatory,46.8733,Gas Giant
HD 45364 b,HD 45364,9.03,0.805,60.16491745,0.1893,0.067,,,0.6793,225.79,K0 V,5466.0,0.89,0.82,Radial Velocity,2008.0,La Silla Observatory,34.354,Gas Giant
HD 45364 c,HD 45364,14.2,1.26,174.48779544,0.549,0.019,,,0.902,345.43,K0 V,5466.0,0.89,0.82,Radial Velocity,2008.0,La Silla Observatory,34.354,Gas Giant
HD 45652 b,HD 45652,14.3,1.28,137.62039,0.433,0.607,,,0.237,44.073,G8/K0,5294.0,0.94,0.92,Radial Velocity,2008.0,Haute-Provence Observatory,34.8541,Gas Giant
